title,movie_num,summary,actor_list,rating,rating_cnt,info1,info2
수운잡방,154,"광산 김씨 가문의 천덕꾸러기 차남 ‘김유’(윤산하). 가문을 위해 과거시험에 도전하지만, 번번이 시험에서 탈락하고 만다. 이번이 벌써 세번째 도전! 반드시 급제해야만 하는 이번 시험, ‘김유’는 공부를 위해 절로 향하고 그곳에서 인생 최고의 맛을 발견한다.절의 요리사는 다름아닌 천민 ‘계암’(김강민). 남자가 요리를 한다는 충격도 잠시, ‘김유’는 ‘계암’이 보여주는 미식의 세계에 완전히 빠져들게 되는데… 삼수생 도련님, 천민 요리 천재를 만나다!군침이 싹~ 도는 부뚜막 스캔들이 시작된다!","['최연수(감독)', '김강민(주연)', '윤산하(주연)', '백성현(주연)']",2.4,(71명),2023 · 드라마 · 한국,1시간 22분 · 12세
동백정원,155,"키누코는 남편을 떠나 보낸 후, 어느 시골 마을의 오래된 일본식 가옥에 손녀 나기사와 함께 살며 정원을 가꾸는 데 매진한다. 우아하고 감각 넘치는 그녀의 정원에는 사계절 내내 각기 다른 식물들이 아름답게 꽃을 피운다. 기억을 가득 품고 있는 집을 떠나기 싫은 키누코는 아파트로 옮겨와 함께 살자는 딸 토코의 제안도 거절한다. 하지만, 나기사의 엄마에 관한 비밀이 밝혀지면서, 그녀의 평범하고 조용한 삶이 송두리째 흔들리기 시작한다.","['우에다 요시히코(감독)', '후지 스미코(주연)', '심은경(주연)', '다나베 세이치(주연)', '스즈키 쿄카(주연)', '시미즈 코지(조연)', '우치다 준코(조연)', '키타우라 아유(조연)', '미우라 토코(조연)', '우노 쇼헤이(조연)', '마츠자와 타쿠미(조연)', '후와 만사쿠(조연)', '장첸(특별출연)']",2.8,(100명),2020 · 드라마 · 일본,2시간 8분 · 전체
레슬리에게,157,"“말해주세요, 꽤 괜찮은 사람이라고”  술에 빠져 수억의 복권 당첨금까지 잃은 레슬리는 몇 년 후, 사이가 틀어진 아들 제임스와 재회하지만 달라지지 못한 모습 탓에 그와 다시 멀어진다. 그런 레슬리에게서 과거를 떠올린 모텔 주인 스위니는 레슬리에게 모텔 청소부 일을 제안하는데…지난 잘못을 돌이킬 수 없을 때 찾아온 새 출발의 기회!흔들리는 세상의 모든 <레슬리에게>","['마이클 모리스(감독)', '안드레아 라이즈보로(주연)', '오웬 티그(조연)', '마크 마론(조연)', '앨리슨 제니(조연)', '앙드레 로요(조연)', '스티븐 루트(조연)', '제임스 랜드리 허버트(조연)', '맷 로리아(조연)', '데릭 필립스(조연)', '크리스 코이(조연)', '마크 브랜트(조연)', '톰 버츄(조연)', '스콧 수비오노(조연)', '스웰 휘트니(조연)', '존 길버트(조연)', '알란 트롱(조연)']",3.3,(415명),2022 · 드라마 · 미국,1시간 59분 · 15세
아줌마,158,"자식 키워봤자 소용없다 가슴으로 낳은 한류스타 ‘여진구’의 나라 한국으로 떠나다! 평생 가족만을 위해 살아온 싱가포르 아줌마 ‘림메이화’(홍휘팡). 한국드라마 촬영지 투어를 위해 인생 처음으로 나 홀로 한국행 비행기에 올랐다. 하지만 꿈 같은 시간도 잠시, 그녀를 두고 떠나버리는 관광버스? 말도 통하지 않는 낯선 땅에 홀로 남겨진 그녀의 여행은 뜻밖의 인연들을 마주하며 예상치 못했던 방향으로 흘러가는데… ‘여진구’ 찾아 떠나온 곳에서 진짜 ‘나’를 찾는 여행을 시작하다! 어서와~ 싱가포르 아줌마는 처음이지?","['허슈밍(감독)', '홍휘팡(주연)', '정동환(주연)', '강형석(조연)', '포훈평(조연)', '여진구(특별출연)']",3.3,(354명),"2022 · 코미디/드라마 · 싱가포르, 한국",1시간 30분 · 12세
비욘드 라이브 더 무비 - 태민 : 엔.지.디.에이,160,독보적인 퍼포먼스로 전 세계를 매료시켰던 샤이니 태민의 온라인 콘서트 ‘Beyond LIVE - TAEMIN : N.G.D.A’가어디서도 볼 수 없는 비하인드 영상과 함께 국내 CGV 극장을 통해 다시 찾아옵니다.샤이니 태민의 다채로운 음악과 다이나믹한 연출이 어우러진 특급 공연의 감동을 다시 한번 느껴보세요.,['태민(주연)'],4.0,(36명),2023 · 공연실황/음악 · 한국,1시간 41분 · 전체
은밀한 미용실2,161,"퇴폐업소로 유명한 미용실에서 일하게 된 혜진. 처음에는 몸으로 서비스한다는 사실이 꺼림칙했지만, 어느 순간부터 적극적으로 손님을 탐하게 된다. 여사장의 스페셜 노하우까지 전수 받으며 승승장구하는 혜진. 그런데 새로 뽑은 섹스머신 주희가 지치지 않는 체력으로 모든 손님을 독차지하기 시작하는데…","['조태호(감독)', '김지연(주연)', '해일(주연)']",2.4,(46명),2017 · 한국,1시간 12분 · 청불
사형에 이르는 병,195,"“마사야, 내가 저지른 일은 알고 있지? 다른 건 인정하지만, 마지막 살인만큼은 내가 한 짓이 아니야 억울한 누명을 벗겨주지 않겠나?” 평범한 빵집 주인으로 지내며 7년에 걸쳐 24건의 살인을 저지른 흉악한 연쇄살인범 ‘야마토’. 10대 후반의 소년소녀를 감금, 학대, 살해한 혐의로 사형을 선고받고 복역 중이다. “오랜만이에요, 아저씨 그런데 경찰도 알아내지 못한 사건을왜 제게 부탁하시는 건가요?”우등생으로 모든 이의 기대를 한 몸에 받고 자라다 삼류대학 법학과에 진학 후 아웃사이더로 하루하루를 살던 ‘마사야’. 다정했던 이웃 ‘야마토’로부터 진짜 범인을 찾고 자신의 무죄를 입증해달라는 편지를 받게 된다. 연쇄 살인마로부터 온 친절한 의뢰-11월 29일, 진실을 비웃는 충격적 서스펜스 심리 스릴러가 찾아온다!","['시라이시 카즈야(감독)', '아베 사다오(주연)', '미즈카미 코시(주연)', '이와타 타카노리(조연)', '미야자키 유우(조연)', '스즈키 타쿠지(조연)', '사토 료(조연)', '타키가와 에이지(조연)', '오오시타 히로토(조연)', '요시자와 켄(조연)', '오토오 타쿠마(조연)', '이와이 시마코(조연)', '코지 토쿠다(조연)', '나카야마 미호(조연)']",3.2,(625명),2022 · 스릴러/미스터리/드라마 · 일본,2시간 9분 · 청불
세이퍼 앳 홈,197,"코로나 바이러스가 전 세계를 강타한지 2년, 여전히 팬데믹이 이어지고 있는 로스앤젤레스. ‘에반’의 생일을 기념하며 그의 연인 ‘젠’은 절친 5명과 함께 랜선 파티를 준비한다. 그런 가운데, 단순히 재미로 시작한 진실게임에서 ‘에반’과 ‘젠’은 말다툼을 하기 시작하고, 예기치 못한 끔찍한 일이 벌어지는데…","['윌 워닉(감독)', '조슬린 휴돈(주연 | 젠)', '앨리사 올라패크(주연 | 하퍼)', '댄 J. 존슨(주연 | 에반)', '애드윈 브라운(주연 | 벤)', '다니엘 로베이르(조연 | 리암)', '엠마 라하나(조연 | 미아)', '마이클 쿠피스크(조연 | 올리버)']",3.0,(2명),2021 · 스릴러 · 미국,1시간 25분 · 15세
컨트리 카바레,201,"압류 위기에 처해 위태로운 ‘데이비드’의 농장, 우연히 들른 카바레에서 본 스타 댄서 ‘보니’의 화려한 퍼포먼스에 ‘데이비드’는 농장에 카바레 극단을 꾸려보자는 기상천외한 아이디어를 떠올리게 되는데!  전무후무 깡촌 카바레, 과연 성공할 수 있을까?","['장 피에르 아메리스(감독)', '사브리나 우아자니(주연)', '알반 이바노프(주연)', '가이 마르컨드(주연)', '미셀 버니어(조연)', '베렌제르 크리프(조연)', '무사 마스크리(조연)', '아리아나 리부아(조연)', '알랑 리모스(조연)', '루도빅 버딜럿(조연)', '장 바티스트 외에(조연)', '에디 시그나라(조연)', '에릭 베르딘(조연)']",1.6,(4명),2022 · 코미디/드라마 · 프랑스,1시간 49분 · 12세
1947 보스톤,202,"“나라가 독립을 했으면 당연히 우리 기록도 독립이 되어야지!” 1936년 베를린 올림픽, 세계 신기록을 세운 마라톤 금메달리스트 ‘손기정’. 기미가요가 울려 퍼지는 시상대에서 화분으로 가슴에 단 일장기를 가렸던 그는 하루아침에 민족의 영웅으로 떠올랐지만 일제의 탄압으로 더 이상 달릴 수 없게 된다. 광복 이후 1947년 서울, 제2의 손기정으로 촉망받는 ‘서윤복’에게 ‘손기정’이 나타나고 밑도 끝도 없이 ‘보스톤 마라톤 대회’에 나가자는 제안을 건넨다. 일본에 귀속된 베를린 올림픽의 영광을 되찾기 위해 처음으로 태극마크를 가슴에 새기고 달려 보자는 것!운동화 한 켤레 살 돈도 없던 대한의 마라토너들은미국 보스톤으로 잊을 수 없는 여정을 시작하는데…","['강제규(감독)', '하정우(주연 | 기정)', '임시완(주연 | 윤복)', '배성우(주연 | 승룡)', '김상호(주연 | 남현)', '오희준(조연 | 동구)', '박효주(조연 | 윤서)', '최규환(조연 | 이길용)', '서정연(조연 | 윤복 모)', '정영주(조연 | 옥림 모)', '송영창(조연 | 홍사장)', '이규복(조연 | 통역관)', '김정철(조연 | 어린 윤복)', '리민(조연 | 냉면집 주인)', '윤희철(조연 | 체육사 사장)', '최종률(조연 | 하와이 할아버지)', '박서원(조연 | 금림)', '김정철(조연 | 어린윤복)', '김서현(조연 | 장의사)', '김민경(조연 | 하와이할머니)', '홍성덕(조연 | 하와이중년남)', '양지수(조연 | 한인마켓주인)', '서동규(조연 | 육상구락부 선수)', '태경(조연 | 육상구락부 선수)']",2.9,"(6,477명)",2023 · 드라마/스포츠/액션/시대극 · 한국,1시간 48분 · 12세
데블스 맨: 제1특전단,203,2차 세계대전에서 평범한 청년이 제1특전단에 들어가서 지옥훈련을 받고 전쟁터로 가서 전쟁의 공포를 겪으며 전쟁의 참상을 경험하는 영화,"['데이브 브레스나한(감독)', '케이시 엘리엇(주연)', '케일럽 하펜(주연)']",3.0,(1명),2023 · 전쟁/액션 · 미국,1시간 31분 · 12세
