title,movie_num,summary,actor_list,rating,rating_cnt,info1,info2
몬스터 패밀리 2,471,"몬스터에서 인간으로 겨우 돌아온 ‘위시본’ 패밀리! 새 가족이 된 전설 속 몬스터 ‘바바 야가’와 ‘렌필드’의 결혼식 날, 그들은 슈퍼 소녀 ‘밀라’에게 납치당한다. 이들뿐 아니라 드라큘라, 예티, 네시, 그리고 킹 콩가까지!! ‘위시본’ 패밀리는 ‘밀라’에 의해 전 세계 몬스터들이 납치된 것을 알게 되는데… 몬스터들을 구하기 위해 다시 몬스터로 변한 ‘위시본’ 패밀리! 과연 ‘위시본’ 가족은 몬스터들을 구하고 다시 인간으로 돌아갈 수 있을까?","['호거 태프(감독)', '에밀리 왓슨(성우 | 에마 위시본)', '닉 프로스트(성우 | 프랭크 위시본)', '제시카 브라운 핀들리(성우 | 페이 위시본)', '에단 루즈(성우 | 맥스 위시본)', '캐서린 테이트(성우 | 바바 야가)', '제이슨 아이삭스(성우 | 드라큘라)', '에밀리 캐리(성우 | 밀라 스타 / 밀라 2.0)']",2.7,(87명),"2021 · 키즈/애니메이션/코미디/가족 · 독일, 영국",1시간 43분 · 전체
더 버닝 씨,472,"북유럽 해양, 차가운 바닷속 뜨거운 붉은 재앙이 다가온다! 석유산업의 전성기를 맞고 있는 노르웨이. 어느 날, 바다 위의 시추탑이 붕괴하는 사고가 발생한다. 수중 로봇 원격 조종사 ‘소피아’는 무너진 시추탑에서 실종자를 수색하는 비밀스러운 임무에 투입되고, 실종자 수색 중 시추탑 붕괴의 원인이 대규모 해저 산사태라는 무서운 사실을 발견하게 된다.역사상 최대 규모의 해저 산사태로 판단한 노르웨이 정부는 350개 유정을 모두 폐쇄하기로 결정하고 바다를 불태우기로 결정하는데… 인부들의 철수와 대피 과정에서 마지막 유정을 수동으로 폐쇄하던 소피아의 연인 ‘스티앙’이 바닷속에 갇히게 된다. 모두의 만류를 뿌리치고 사랑하는 연인 ‘스티앙’을 구출하기 위해 바다로 뛰어든 소피아.과연 ‘소피아’는 ‘스티앙’을 구출하고 무사히 집으로 돌아올 수 있을까?","['존 안드레아 앤더슨(감독)', '크리스틴 쿠야트 소프(주연)', '헨리크 비엘란드(주연)', '롤프 크리스틴 라슨(주연)', '안데르스 바스모 크리스티안센(조연)', '본 플로버그(조연)', '닐스 엘리아스 올슨(조연)', '할프단 할세스(조연)']",2.7,(91명),2021 · 액션/드라마/스릴러 · 노르웨이,1시간 46분 · 12세
99번의 정사,473,그녀의 은밀한 사생활 애정중독에 빠져들다. 낯선 남자와 단 한 번만 관계하는 그녀. 자유로운 그와 처음으로 두 번 만나고 그들은 끝없는 욕망에 중독되어 간다. 잠자리와 사랑에 경계를 두지만 헤어날 수 없는 욕정으로 치닫는데…마지막 절정으로 달려간다!,"['얀 가스만(감독)', '발렌티나 디 파세(주연 | 비그나)', '도비니크 펠만(주연 | 프랭크)', '다니 엑스나르(조연 | 게오르그)']",1.8,(20명),2022 · 로맨스/드라마 · 스위스,1시간 50분 · 청불
치치치 치킨의 비밀,474,“나는 도대체 누구새요?!” 어릴 적 부모님을 일찍 여의고 닭들의 틈에서 살아왔던 ‘맥스’는 친구들과 다른 자신의 모습에 대혼란을 느끼고 자신에 관한 비밀을 풀기 위해 ‘에디’와 함께 ‘버드 시티’로 향하는데…,"['동룡(감독)', '나이젤 W.티어니(감독)', '유성좌(성우)', '행림아(성우)', '진호(성우)']",2.6,(24명),2021 · 키즈/애니메이션 · 중국,1시간 34분 · 전체
마야 3: 숲속 왕국의 위기,475,"환상의 그린리프를 찾아 떠나는 ‘꿀’잼 ‘꿀’귀 숲속 어드벤처! 기나긴 겨울이 지나고 봄과 함께 깨어난 ‘마야’와 단짝 ‘윌리’ 앞에 근육 만땅 딱정벌레들로부터 쫓기는 한 개미가 나타난다. 개미가 가방 속에서 꺼내든 것은 바로 비밀의 황금알! 둘은 다친 개미를 대신해 황금알을 배달하기로 한다. 뾰족 나무를 지나, 위험천만 시냇물 그리고 무시무시한 붐버그들의 요새까지… 과연 환상의 꿀베프 ‘마야’와 ‘윌리’는 최종 목적지인 ‘그린리프’까지 무사히 도착할 수 있을까? 숲속 왕국의 운명이 걸린 초특급 모험이 시작된다!","['노엘 클리어리(감독)', '유선민(성우)', '석승훈(성우)', '코코 잭 질리스(성우 | 마야)', '벤슨 잭 앤서니(성우 | 윌리)', '저스틴 클락(성우 | 여왕)', '셰인 던다스(성우 | 바니)', '데이빗 콜린스(성우 | 아니)', '노엘 클리어리(성우 | 헨치)']",2.7,(33명),"2021 · 키즈/애니메이션/모험 · 독일, 호주",1시간 28분 · 전체
에릭 클랩튼: 어크로스 24 나이츠,476,"기타의 신, 역사상 가장 영향력 있는 기타 연주자인 에릭 클랩튼의 전설적인 공연이 영화관에서 펼쳐진다. 1990년과 1991년, 에릭 클랩튼은 영국을 대표하는 공연장 로열 앨버트 홀에서 락, 블루스, 풀 오케스트라로 구성된 다양한 라인업과 명곡으로 콘서트를 진행하였다. 그의 다섯 번째 라이브 앨범 <24 nights>는 두 해에 걸친 42번의 공연들로 구성된 것이다. 는 그중 최고의 공연만을 선별하여 5.1 서라운드 사운드로 리마스터된 공연 실황으로, 30여 년 전 공연 현장 속 뜨거운 열기를 생생히 느낄 수 있다.","['데이빗 버나드(감독)', '에릭 클랩튼(출연)', '필 콜린스(출연)', '버디 가이(출연)', '마이클 캐먼(출연)']",4.1,(29명),2023 · 음악/다큐멘터리/공연실황 · 영국,1시간 55분 · 12세
람보르기니: 전설이 된 남자,477,"불가능을 가능으로 바꾼 람보르기니의 이야기가 시작된다!2차 세계대전이 종식된 후 고향으로 돌아온 ‘페루치오 람보르기니’ 그는 트랙터 회사를 세워 자신의 이름을 널리 알리겠다는 야망을 품고있다. 타협 없는 노력 끝에 결국 트랙터 개발에 성공하였지만, 그의 꿈은 여기서 멈추지 않는다. 페루치오는 동경하는 자동차 제조사 회장  ‘엔초 페라리’를 찾아가 동업을 제안하지만, 시골 촌놈 취급을 받으며 거절당하는 굴욕을 당한다. 이에 격분한 페루치오는 업계에서 유능하다고 알려진 자동차 엔지니어를 스카우트하며, 황소같이 강력한 차를 만들기위해 의기투합한다. 제네바 모터쇼까지 6개월밖에 남지 않은 상황에서 페루치오는 정말 세상에 선보인 적 없던 최고의 차를 만들어 낼 수 있을까? 황소처럼 강렬한 실화가 눈 앞에 펼쳐진다.","['바비 모레스코(감독)', '프랭크 그릴로(주연)', '가브리엘 번(조연)', '미라 소르비노(조연)', '포르투나토 세를리노(조연)', '조르지오 칸타리니(조연)', '일리아나 존스(조연)', '로마노 레지아니(조연 | 어린 페루치오 람보르기니)', '마테오 레오니(조연 | 마테오)', '한나 반 데르 웨스따이슨(조연 | 클레리아 몬티)']",2.4,(192명),"2022 · 드라마/전기/스포츠 · 이탈리아, 미국",1시간 37분 · 12세
아만다,478,사회와의 소통을 거부한 채 마이 웨이로 세상을 살아가는 ‘아만다’. 보다못한 엄마는 친구의 딸 ‘레베카’를 소개시켜 준다. 하지만 집 밖을 나가지 않는 ‘레베카’는 ‘아만다’보다 더한 외톨이었던 것! ‘아만다’는 자신만의 방법으로 ‘레베카’에게 접근하지만 쉽지가 않다. 그 와중에 ‘레베카’가 자신에게 말하지 않는 이야기를 상담사에게는 한다는 사실을 알게되자 크게 실망하는데…,"['카롤리나 카발리(감독)', '베네데타 포르카롤리(주연)', '갈라테아 벨루지(주연)', '조반나 메초지오르노(주연)', '미켈레 브라비(조연)', '모니카 나포(조연)']",2.8,(166명),2022 · 드라마/코미디 · 이탈리아,1시간 33분 · 15세
강변의 무코리타,479,"과거를 지우고 새로운 삶을 위해 작은 어촌 마을 공장에 취직한 ‘야마다’는 공장 사장의 소개로 낡고 오래 된 ‘무코리타 연립주택’에 입주한다. 그곳에는 남편을 잃고 딸과 함께 살고 있는 집 주인 ‘미나미’. 남의 집을 제집 드나들 듯 오가는 옆집 이웃 ‘시마다’. 아들과 묘석을 방문 판매하는 ‘미조구치’가 살고 있다. 어느 날, ‘야마다’는 인연을 끊고 살았던 아버지의 부고 소식을 접하게 되고 그동안 느끼지 못했던 감정에 혼란스러워 한다. 저마다의 사연을 품고 살아가는 ‘무코리타 연립주택’ 사람들가족도 친구도 아니지만 함께라서 외롭지 않아","['오기가미 나오코(감독)', '마츠야마 켄이치(주연)', '무로 츠요시(조연)', '미츠시마 히카리(조연)', '요시오카 히데타카(조연)', '에구치 노리코(조연)', '쿠로다 다이스케(조연)', '치쿠 토시아키(조연)', '에모토 타스쿠(조연)', '타나카 미사코(조연)', '야쿠시마루 히로코(조연)', '사사노 타카시(조연)', '오가타 나오토(조연)', '키타무라 코쥬(조연)', '마츠시마 하나(조연)']",3.5,"(1,734명)",2021 · 가족/드라마 · 일본,2시간 00분 · 12세
볼코노고프 대위 탈출하다,480,"스탈린 공포정치 시대, 소련(러시아)을 저격하다!역사상 가장 끔찍한 비밀경찰 조직 vs 볼코노고프 대위희망 없는 세상, 영혼을 구하기 위한 대탈출!숨막히는 서스펜스 스릴러!2차 세계대전 직전 스탈린 공포정치 시대, 수십만 명의 인명을 앗아간 역사상 가장 끔찍한 비밀경찰 조직 NKVD의 볼코노고프 대위는 조직원들에게 행해지는 심문을 이상하게 여긴다. 곧 자신의 차례가 다가오는 것을 감지한 그는 비밀문서를 들고 탈출을 감행한다. 동료들에게 쫓기는 신세가 된 볼코노고프 대위는 자신에게도 영혼이 있다는 것을 깨닫게 되면서, 자신이 저지른 충격적인 만행을 뉘우치고 피해자들의 유가족을 찾아 용서를 구하는 여정을 시작한다.하지만 용서를 구하기 위한 여정은 쉽지 않고, NKVD의 추격은 점점 더 숨통을 조여온다.","['나타샤 메르쿨로바(감독)', '알렉세이 추포프(감독)', '유리 보리소프(주연 | 볼코노고프 대위)', '티모페이 트리분체프(조연)', '알렉산드르 야첸코(조연)', '니키타 쿠쿠시킨(조연)', '블라디미르 예피판체프(조연)', '아나스타샤 우코로바(조연)', '나탈리아 쿠드리아쇼바(조연)', '드미트리 폿노조프(조연)', '빅토리야 톨스토가노바(조연)']",3.6,"(1,415명)","2021 · 드라마/스릴러 · 러시아, 프랑스, 에스토니아",2시간 6분 · 15세
